Khuangdal = (t:beh) (w:Khuangdal) (e:nang bang beh? kei ~ hi ing)
Khuanghau = (t:beh) (w:Khuanghau) (e:nang bang beh? kei ~ hi ing)
Khuangthang = (t:beh) (w:Khuangthang) (e:nang bang beh? kei ~ hi ing)
Kiikai = (t:beh) (w:Kiikai) (e:nang bang beh? kei ~ hi ing)
Kilte = (t:beh) (w:Kilte) (e:nang bang beh? kei ~ hi ing)
Kimlai = (t:beh) (w:Kimlai) (e:nang bang beh? kei ~ hi ing)
Elsing = (t:beh) (w:Elsing) (e:nang bang beh? kei ~ hi ing)
Lawng = (t:beh) (w:Lawng) (e:nang bang beh? kei ~ hi ing)
Lamhau = (t:beh) (w:Lamhau) (e:nang bang beh? kei ~ hi ing)
Lamkhai = (t:beh) (w:Lamkhai) (e:nang bang beh? kei ~ hi ing)
Lampho = (t:beh) (w:Lampho) (e:nang bang beh? kei ~ hi ing)
Langel = (t:beh) (w:Langel) (e:nang bang beh? kei ~ hi ing)
Leivang = (t:beh) (w:Leivang) (e:nang bang beh? kei ~ hi ing)
Lethil = (t:beh) (w:Lethil) (e:nang bang beh? kei ~ hi ing)
Lenthang = (t:beh) (w:Lenthang) (e:nang bang beh? kei ~ hi ing)
Lianzaw = (t:beh) (w:Lianzaw) (e:nang bang beh? kei ~ hi ing)
luahlang = (t:beh) (w:luahlang) (e:nang bang beh? kei ~ hi ing)
Luhphaw = (t:beh) (w:Luhphaw) (e:nang bang beh? kei ~ hi ing)
Luhtaing = (t:beh) (w:Luhtaing) (e:nang bang beh? kei ~ hi ing)
Lunkim = (t:beh) (w:Lunkim) (e:nang bang beh? kei ~ hi ing)
Lunmun = (t:beh) (w:Lunmun) (e:nang bang beh? kei ~ hi ing)
Lunkhel = (t:beh) (w:Lunkhel) (e:nang bang beh? kei ~ hi ing)
Lahtawng = (t:beh) (w:Lahtawng) (e:nang bang beh? kei ~ hi ing)
Maibung = (t:beh) (w:Maibung) (e:nang bang beh? kei ~ hi ing)
Malneu = (t:beh) (w:Malneu) (e:nang bang beh? kei ~ hi ing)
Mangson = (t:beh) (w:Mangson) (e:nang bang beh? kei ~ hi ing)
Mangtong = (t:beh) (w:Mangtong) (e:nang bang beh? kei ~ hi ing)
Mangvuk = (t:beh) (w:Mangvuk) (e:nang bang beh? kei ~ hi ing)
Mangvung = (t:beh) (w:Mangvung) (e:nang bang beh? kei ~ hi ing)
Manlun = (t:beh) (w:Manlun) (e:nang bang beh? kei ~ hi ing)
Mantuang = (t:beh) (w:Mantuang) (e:nang bang beh? kei ~ hi ing)
Mate = (t:beh) (w:Mate) (e:nang bang beh? kei ~ hi ing)
Matmang = (t:beh) (w:Matmang) (e:nang bang beh? kei ~ hi ing)
Matsing = (t:beh) (w:Matsing) (e:nang bang beh? kei ~ hi ing)
Minvaak = (t:beh) (w:Minvaak) (e:nang bang beh? kei ~ hi ing)
Mitsum = (t:beh) (w:Mitsum) (e:nang bang beh? kei ~ hi ing)
Mualsun = (t:beh) (w:Mualsun) (e:nang bang beh? kei ~ hi ing)
Malkhai = (t:beh) (w:Malkhai) (e:nang bang beh? kei ~ hi ing)
Mulpi = (t:beh) (w:Mulpi) (e:nang bang beh? kei ~ hi ing)
Munluah = (t:beh) (w:Munluah) (e:nang bang beh? kei ~ hi ing)
Munsing = (t:beh) (w:Munsing) (e:nang bang beh? kei ~ hi ing)
Munsong = (t:beh) (w:Munsong) (e:nang bang beh? kei ~ hi ing)
Munsuang = (t:beh) (w:Munsuang) (e:nang bang beh? kei ~ hi ing)
Munsuan = (t:beh) (w:Munsuan) (e:nang bang beh? kei ~ hi ing)
Namzo = (t:beh) (w:Namzo) (e:nang bang beh? kei ~ hi ing)
Naulak = (t:beh) (w:Naulak) (e:nang bang beh? kei ~ hi ing)
Namthang = (t:beh) (w:Namthang) (e:nang bang beh? kei ~ hi ing)
Neihgup = (t:beh) (w:Neihgup) (e:nang bang beh? kei ~ hi ing)
Neihsial = (t:beh) (w:Neihsial) (e:nang bang beh? kei ~ hi ing)
Neihluut = (t:beh) (w:Neihluut) (e:nang bang beh? kei ~ hi ing)
Neekgen = (t:beh) (w:Neekgen) (e:nang bang beh? kei ~ hi ing)
Ngaihte = (t:beh) (w:Ngaihte) (e:nang bang beh? kei ~ hi ing)
Ngaman = (t:beh) (w:Ngaman) (e:nang bang beh? kei ~ hi ing)
Ngawnte = (t:beh) (w:Ngawnte) (e:nang bang beh? kei ~ hi ing)
Ngengu = (t:beh) (w:Ngengu) (e:nang bang beh? kei ~ hi ing)
Nungzawng = (t:beh) (w:Nungzawng) (e:nang bang beh? kei ~ hi ing)
Ngotual = (t:beh) (w:Ngotual) (e:nang bang beh? kei ~ hi ing)
Neuzaw = (t:beh) (w:Neuzaw) (e:nang bang beh? kei ~ hi ing)
Pante = (t:beh) (w:Pante) (e:nang bang beh? kei ~ hi ing)
Pape = (t:beh) (w:Pape) (e:nang bang beh? kei ~ hi ing)
Phaipi = (t:beh) (w:Phaipi) (e:nang bang beh? kei ~ hi ing)
Phan-ai = (t:beh) (w:Phan-ai) (e:nang bang beh? kei ~ hi ing)
Phiamphu = (t:beh) (w:Phiamphu) (e:nang bang beh? kei ~ hi ing)
Phualte = (t:beh) (w:Phualte) (e:nang bang beh? kei ~ hi ing)
Phuakhil = (t:beh) (w:Phuakhil) (e:nang bang beh? kei ~ hi ing)
Phutlun = (t:beh) (w:Phutlun) (e:nang bang beh? kei ~ hi ing)
Ralte = (t:beh) (w:Ralte) (e:nang bang beh? kei ~ hi ing)
Samte = (t:beh) (w:Samte) (e:nang bang beh? kei ~ hi ing)
Sailo = (t:beh) (w:Sailo) (e:nang bang beh? kei ~ hi ing)
Sate = (t:beh) (w:Sate) (e:nang bang beh? kei ~ hi ing)
Sehmang = (t:beh) (w:Sehmang) (e:nang bang beh? kei ~ hi ing)
Sektek = (t:beh) (w:Sektek) (e:nang bang beh? kei ~ hi ing)
Senchong = (t:beh) (w:Senchong) (e:nang bang beh? kei ~ hi ing)
Senlun = (t:beh) (w:Senlun) (e:nang bang beh? kei ~ hi ing)
Senlut = (t:beh) (w:Senlut) (e:nang bang beh? kei ~ hi ing)
Sawlnitang = (t:beh) (w:Sawlnitang) (e:nang bang beh? kei ~ hi ing)
Siahliap = (t:beh) (w:Siahliap) (e:nang bang beh? kei ~ hi ing)
Siahtak = (t:beh) (w:Siahtak) (e:nang bang beh? kei ~ hi ing)
Sinte = (t:beh) (w:Sinte) (e:nang bang beh? kei ~ hi ing)
Singsuan = (t:beh) (w:Singsuan) (e:nang bang beh? kei ~ hi ing)
Singsei = (t:beh) (w:Singsei) (e:nang bang beh? kei ~ hi ing)
Singvum = (t:beh) (w:Singvum) (e:nang bang beh? kei ~ hi ing)
Singngul = (t:beh) (w:Singngul) (e:nang bang beh? kei ~ hi ing)
Sithoih = (t:beh) (w:Sithoih) (e:nang bang beh? kei ~ hi ing)
Sonna = (t:beh) (w:Sonna) (e:nang bang beh? kei ~ hi ing)
Sonchung = (t:beh) (w:Sonchung) (e:nang bang beh? kei ~ hi ing)
Songlam = (t:beh) (w:Songlam) (e:nang bang beh? kei ~ hi ing)
Songlun = (t:beh) (w:Songlun) (e:nang bang beh? kei ~ hi ing)
Songput = (t:beh) (w:Songput) (e:nang bang beh? kei ~ hi ing)
Songtut = (t:beh) (w:Songtut) (e:nang bang beh? kei ~ hi ing)
Sote (Shoute) = (t:beh) (w:Sote (Shoute)) (e:nang bang beh? kei ~ hi ing)
Suksak = (t:beh) (w:Suksak) (e:nang bang beh? kei ~ hi ing)
Suankhup = (t:beh) (w:Suankhup) (e:nang bang beh? kei ~ hi ing)
Suanman = (t:beh) (w:Suanman) (e:nang bang beh? kei ~ hi ing)
Suantak(tuantak) = (t:beh) (w:Suantak(tuantak)) (e:nang bang beh? kei ~ hi ing)
suante = (t:beh) (w:suante) (e:nang bang beh? kei ~ hi ing)
suanzong = (t:beh) (w:suanzong) (e:nang bang beh? kei ~ hi ing)
suahsia = (t:beh) (w:suahsia) (e:nang bang beh? kei ~ hi ing)
Suumniang = (t:beh) (w:Suumniang) (e:nang bang beh? kei ~ hi ing)
Siamsuang = (t:beh) (w:Siamsuang) (e:nang bang beh? kei ~ hi ing)
