Ah Teing = (t:khua) (w:Ah Teing) (e:koi khua pan? ko ~ hi ung)
Khamzang = (t:khua) (w:Khamzang) (e:koi khua pan? ko ~ hi ung)
Khapan = (t:khua) (w:Khapan) (e:koi khua pan? ko ~ hi ung)
Khauk = (t:khua) (w:Khauk) (e:koi khua pan? ko ~ hi ung)
Khaukue = (t:khua) (w:Khaukue) (e:koi khua pan? ko ~ hi ung)
Khaungtang = (t:khua) (w:Khaungtang) (e:koi khua pan? ko ~ hi ung)
Khaute = (t:khua) (w:Khaute) (e:koi khua pan? ko ~ hi ung)
Khawei = (t:khua) (w:Khawei) (e:koi khua pan? ko ~ hi ung)
Khawkhlir = (t:khua) (w:Khawkhlir) (e:koi khua pan? ko ~ hi ung)
Khawpisip = (t:khua) (w:Khawpisip) (e:koi khua pan? ko ~ hi ung)
Khawzimpi = (t:khua) (w:Khawzimpi) (e:koi khua pan? ko ~ hi ung)
Khawzimte = (t:khua) (w:Khawzimte) (e:koi khua pan? ko ~ hi ung)
Kheng = (t:khua) (w:Kheng) (e:koi khua pan? ko ~ hi ung)
Khenkhar = (t:khua) (w:Khenkhar) (e:koi khua pan? ko ~ hi ung)
Khiangkan = (t:khua) (w:Khiangkan) (e:koi khua pan? ko ~ hi ung)
Khiangrawn = (t:khua) (w:Khiangrawn) (e:koi khua pan? ko ~ hi ung)
Khiangzang = (t:khua) (w:Khiangzang) (e:koi khua pan? ko ~ hi ung)
Khitam = (t:khua) (w:Khitam) (e:koi khua pan? ko ~ hi ung)
Khlantsing = (t:khua) (w:Khlantsing) (e:koi khua pan? ko ~ hi ung)
Khokchaung = (t:khua) (w:Khokchaung) (e:koi khua pan? ko ~ hi ung)
Khreum = (t:khua) (w:Khreum) (e:koi khua pan? ko ~ hi ung)
Khuabawi = (t:khua) (w:Khuabawi) (e:koi khua pan? ko ~ hi ung)
Khuabem = (t:khua) (w:Khuabem) (e:koi khua pan? ko ~ hi ung)
Khuabung = (t:khua) (w:Khuabung) (e:koi khua pan? ko ~ hi ung)
Khuadai = (t:khua) (w:Khuadai) (e:koi khua pan? ko ~ hi ung)
Khuadam = (t:khua) (w:Khuadam) (e:koi khua pan? ko ~ hi ung)
Khuadar = (t:khua) (w:Khuadar) (e:koi khua pan? ko ~ hi ung)
Khuahlon = (t:khua) (w:Khuahlon) (e:koi khua pan? ko ~ hi ung)
Khuahrang = (t:khua) (w:Khuahrang) (e:koi khua pan? ko ~ hi ung)
Khuaivum = (t:khua) (w:Khuaivum) (e:koi khua pan? ko ~ hi ung)
Khualung = (t:khua) (w:Khualung) (e:koi khua pan? ko ~ hi ung)
Khuamun = (t:khua) (w:Khuamun) (e:koi khua pan? ko ~ hi ung)
Khuang = (t:khua) (w:Khuang) (e:koi khua pan? ko ~ hi ung)
Khuangkhan = (t:khua) (w:Khuangkhan) (e:koi khua pan? ko ~ hi ung)
Khuangli = (t:khua) (w:Khuangli) (e:koi khua pan? ko ~ hi ung)
Khuapho = (t:khua) (w:Khuapho) (e:koi khua pan? ko ~ hi ung)
Khuapi = (t:khua) (w:Khuapi) (e:koi khua pan? ko ~ hi ung)
Khuapual = (t:khua) (w:Khuapual) (e:koi khua pan? ko ~ hi ung)
Khuasak = (t:khua) (w:Khuasak) (e:koi khua pan? ko ~ hi ung)
Khuasum = (t:khua) (w:Khuasum) (e:koi khua pan? ko ~ hi ung)
Khuatua = (t:khua) (w:Khuatua) (e:koi khua pan? ko ~ hi ung)
Khuisah = (t:khua) (w:Khuisah) (e:koi khua pan? ko ~ hi ung)
Khumhmun = (t:khua) (w:Khumhmun) (e:koi khua pan? ko ~ hi ung)
Khumpawng = (t:khua) (w:Khumpawng) (e:koi khua pan? ko ~ hi ung)
Khumzing = (t:khua) (w:Khumzing) (e:koi khua pan? ko ~ hi ung)
Khupleng = (t:khua) (w:Khupleng) (e:koi khua pan? ko ~ hi ung)
Khupyeshe = (t:khua) (w:Khupyeshe) (e:koi khua pan? ko ~ hi ung)
Mdap = (t:khua) (w:Mdap) (e:koi khua pan? ko ~ hi ung)
Mdasa = (t:khua) (w:Mdasa) (e:koi khua pan? ko ~ hi ung)
Meilangtlang = (t:khua) (w:Meilangtlang) (e:koi khua pan? ko ~ hi ung)
Men = (t:khua) (w:Men) (e:koi khua pan? ko ~ hi ung)
Mengnu = (t:khua) (w:Mengnu) (e:koi khua pan? ko ~ hi ung)
Meriao = (t:khua) (w:Meriao) (e:koi khua pan? ko ~ hi ung)
Mgwe-imnu = (t:khua) (w:Mgwe-imnu) (e:koi khua pan? ko ~ hi ung)
Mgwi = (t:khua) (w:Mgwi) (e:koi khua pan? ko ~ hi ung)
Mhaw = (t:khua) (w:Mhaw) (e:koi khua pan? ko ~ hi ung)
Mhreng = (t:khua) (w:Mhreng) (e:koi khua pan? ko ~ hi ung)
Mimbil = (t:khua) (w:Mimbil) (e:koi khua pan? ko ~ hi ung)
Min Kraing = (t:khua) (w:Min Kraing) (e:koi khua pan? ko ~ hi ung)
Mitu = (t:khua) (w:Mitu) (e:koi khua pan? ko ~ hi ung)
Mkai-imnu = (t:khua) (w:Mkai-imnu) (e:koi khua pan? ko ~ hi ung)
Mkyai = (t:khua) (w:Mkyai) (e:koi khua pan? ko ~ hi ung)
